Ticker,Name,Country,Category Name,Category Name,Category Number
F9D.SI,Boustead ,Singapore,Misc,Oil & Gas Equipment & Services,124
U96.SI,Sembcorp Industries,Singapore,Misc,Conglomerates,210
N21.SI,Noble Group ,Singapore,Misc,Conglomerates,210
U04.SI,United Engineers ,Singapore,Property / Real Estate,Conglomerates,210
S21.SI,Genting Hong Kong ,Singapore,Tourism,"Recreational Goods, Other",317
C07.SI,Jardine Cycle & Carriage ,Singapore,Transport,Auto Manufacturers - Major,330
S10.SI,Super Group,Singapore,Food,Food - Major Diversified,340
D03.SI,Del Monte Pacific ,Singapore,Food,Food - Major Diversified,340
Y03.SI,Yeo Hiap Seng ,Singapore,Food,Food - Major Diversified,340
F34.SI,Wilmar,Singapore,Food,Farm Products,341
E5H.SI,Golden Agri-Resources,Singapore,Food,Farm Products,341
K6J.SI,Global Palm Resources Holdings ,Singapore,Food,Farm Products,341
552.SI,Qian Hu Corporation ,Singapore,Food,Farm Products,341
Y92.SI,Thai Beverage Public Company ,Singapore,Food,Beverages - Wineries & Distillers,347
D05.SI,DBS Bank,Singapore,Finance,Money Center Banks,410
O39.SI,OCBC Bank,Singapore,Finance,Money Center Banks,410
U11.SI,UOB Bank,Singapore,Finance,Money Center Banks,410
S68.SI,Singapore Exchange ,Singapore,Finance,Asset Management,422
S41.SI,Hong Leong Finance ,Singapore,Finance,Credit Services,424
T6I.SI,ValueMax Group ,Singapore,Finance,Credit Services,424
S35.SI,Sing Investments & Finance ,Singapore,Finance,Mortgage Investment,447
EH5.SI,United Overseas Australia,Singapore,Real Estate,Property Management,448
W05.SI,Wing Tai,Singapore,Real Estate,Property Management,448
U14.SI,UOL Group ,Singapore,Real Estate,Real Estate Development,449
C31.SI,CapitaLand ,Singapore,Real Estate,Real Estate Development,449
H78.SI,Hongkong Land Holdings ,Singapore,Real Estate,Real Estate Development,449
H02.SI,Haw Par Corporation ,Singapore,Medical,Drug Manufacturers - Major,510
R01.SI,Raffles Medical Group,Singapore,Medical,Hospitals,524
QC7.SI,Q & M Dental Group ,Singapore,Medical,Hospitals,524
S63.SI,Singapore Technologies Engineering,Singapore,Engineering,Aerospace/Defense - Major Diversified,610
S51.SI,Sembcorp Marine,Singapore,Engineering,Aerospace/Defense - Major Diversified,610
F83.SI,COSCO Corporation ,Singapore,Engineering,General Contractors,636
5CF.SI,OKP,Singapore,Engineering,General Contractors,636
BN4.SI,Keppel Corporation ,Singapore,Engineering,General Contractors,636
LJ3.SI,OUE ,Singapore,Tourism,Lodging,710
M04.SI,Mandarin Oriental,Singapore,Tourism,Lodging,710
G13.SI,Genting Singapore PLC,Singapore,Tourism,Resorts & Casinos,711
S91.SI,Alibaba Pictures Group ,Singapore,Tourism,Entertainment - Diversified,722
OV8.SI,Sheng Siong Group,Singapore,Food,Grocery Stores,734
D01.SI,Dairy Farm,Singapore,Food,Grocery Stores,734
O23.SI,OSIM,Singapore,Food,"Specialty Retail, Other",745
K03.SI,Khong Guan Flour Milling ,Singapore,Food,Food Wholesale,757
O32.SI,Olam,Singapore,Food,Food Wholesale,757
S08.SI,Sing Post ,Singapore,Misc,Business Services,760
S58.SI,SATS,Singapore,Misc,Air,772
C52.SI,ComfortDelGro ,Singapore,Misc,Railroads,776
B2F.SI,M1,Singapore,Telco,Telco,840
CC3.SI,StarHub,Singapore,Telco,Telco,840
Z78.SI,SingTel,Singapore,Telco,Telco,840
X04.SI,AusNet Services,Singapore,Telco,Diversified Utilities,913
A17U.SI,Ascendas Reit,Singapore,REIT,REIT,0
A68U.SI,Ascott Reit,Singapore,REIT,REIT,0
BMGU.SI,BHG Retail Reit,Singapore,REIT,REIT,0
K2LU.SI,Cache Log Trust,Singapore,REIT,REIT,0
J91U.SI,Cambridge Industrial Trust,Singapore,REIT,REIT,0
C61U.SI,CapitaCom Trust,Singapore,REIT,REIT,0
C38U.SI,CapitaMall Trust,Singapore,REIT,REIT,0
AU8U.SI,CapitaR China Trust,Singapore,REIT,REIT,0
BMOU.SI,First Reit A,Singapore,REIT,REIT,0
F25U.SI,Fortune Reit HKD,Singapore,REIT,REIT,0
ND8U.SI,Frasers Com Trust,Singapore,REIT,REIT,0
J69U.SI,Frasers Cpt Trust,Singapore,REIT,REIT,0
UD1U.SI,IREIT Global,Singapore,REIT,REIT,0
AJBU.SI,Keppel DC Reit,Singapore,REIT,REIT,0
K71U.SI,Keppel Reit,Singapore,REIT,REIT,0
D5IU.SI,Lippo Malls Trust,Singapore,REIT,REIT,0
N2IU.SI,Mapletree Com Trust,Singapore,REIT,REIT,0
RW0U.SI,Mapletree GCC Trust,Singapore,REIT,REIT,0
ME8U.SI,Mapletree Industrial Trust,Singapore,REIT,REIT,0
M44U.SI,Mapletree Logistics Trust,Singapore,REIT,REIT,0
C2PU.SI,ParkwayLife Reit,Singapore,REIT,REIT,0
M1GU.SI,Sabana Reit,Singapore,REIT,REIT,0
T8JU.SI,Saizen Reit,Singapore,REIT,REIT,0
SK6U.SI,SPH Reit,Singapore,REIT,REIT,0
P40U.SI,StarhillGbl Reit,Singapore,REIT,REIT,0
T82U.SI,Suntec Reit,Singapore,REIT,REIT,0
